Plot,Epi,Chip,Length,RidgeW,Temp,DataType,DataNo,Resistance,Ideality,Leakage,Threshold,PowerMax,Rolloff,File,Folder
x,E1,R04C01,250,2,25,IV,1,6.67,2.987177026,-2.45E-07,,,,E1_R04C01_Ridge_2um_L_250um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2,25,LIV,1,,,,,0.1946708,82,E1_R04C01_Ridge_2um_L_250um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2,38,IV,1,6.82,3.158689564,-2.50E-07,,,,E1_R04C01_Ridge_2um_L_250um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2,38,LIV,1,,,,,0.1360892,84,E1_R04C01_Ridge_2um_L_250um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2,45,IV,1,6.87,3.16909229,-2.69E-07,,,,E1_R04C01_Ridge_2um_L_250um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2,45,LIV,1,,,,,0.1191228,83,E1_R04C01_Ridge_2um_L_250um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2.3,25,IV,1,5.47,2.970038645,-2.28E-07,,,,E1_R04C01_Ridge_2.3um_L_250um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2.3,25,LIV,1,,,,21,19.9315,116,E1_R04C01_Ridge_2.3um_L_250um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2.3,38,IV,1,6.8,3.159842106,-2.59E-07,,,,E1_R04C01_Ridge_2.3um_L_250um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2.3,38,LIV,1,,,,29,13.07368,99.01,E1_R04C01_Ridge_2.3um_L_250um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2.3,45,IV,1,5.53,3.172335758,-2.83E-07,,,,E1_R04C01_Ridge_2.3um_L_250um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2.3,45,LIV,1,,,,35,9.339543,90.99,E1_R04C01_Ridge_2.3um_L_250um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2.5,25,IV,1,6.36,2.947760776,-2.42E-07,,,,E1_R04C01_Ridge_2.5um_L_250um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2.5,25,LIV,1,,,,,0.1443852,92,E1_R04C01_Ridge_2.5um_L_250um_T_25C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2.5,38,IV,1,5.27,3.112680048,-2.67E-07,,,,E1_R04C01_Ridge_2.5um_L_250um_T_38C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2.5,38,LIV,1,,,,,0.118393,97,E1_R04C01_Ridge_2.5um_L_250um_T_38C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2.5,45,IV,1,5.25,3.164958611,-2.79E-07,,,,E1_R04C01_Ridge_2.5um_L_250um_T_45C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,2.5,45,LIV,1,,,,,0.1075679,98,E1_R04C01_Ridge_2.5um_L_250um_T_45C_LIV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
x,E1,R04C01,250,3,25,IV,1,5.25,2.529998264,-2.48E-07,,,,E1_R04C01_Ridge_3um_L_250um_T_25C_IV_1.csv,C:/Users/carlos.reyes/Desktop/Projects/TQW/Data/E1/DOE 1/Mounted/LIV/250um/R04C01
