,mu,xaxis,yaxis,colors
704,1.007,-16.507,0,#9D6C97
672,0.9,-16.4,2,#9D6C97
640,0.806,-16.306,-2,#9D6C97
608,0.701,-16.201,1,#9D6C97
576,0.604,-16.104,1,#9D6C97
544,0.504,-16.004,0,#9D6C97
512,0.403,-15.903,1,#9D6C97
480,0.301,-15.801,1,#9D6C97
448,0.208,-15.708,1,#9D6C97
416,0.103,-15.603,1,#9D6C97
705,1.007,-15.507,3,#9DC3E6
384,0.003,-15.503,1,#9D6C97
352,0.001,-15.501,2,#9D6C97
320,-0.002,-15.498,0,#9D6C97
673,0.9,-15.4,4,#9DC3E6
288,-0.102,-15.398,-1,#9D6C97
641,0.806,-15.306000000000001,5,#9DC3E6
256,-0.2,-15.3,1,#9D6C97
609,0.701,-15.201,1,#9DC3E6
224,-0.3,-15.2,2,#9D6C97
577,0.604,-15.104,4,#9DC3E6
192,-0.4,-15.1,2,#9D6C97
545,0.504,-15.004,3,#9DC3E6
160,-0.501,-14.999,0,#9D6C97
513,0.403,-14.903,4,#9DC3E6
128,-0.6,-14.9,0,#9D6C97
481,0.301,-14.801,3,#9DC3E6
96,-0.7,-14.8,0,#9D6C97
449,0.208,-14.708,3,#9DC3E6
64,-0.8,-14.7,0,#9D6C97
417,0.103,-14.603,5,#9DC3E6
32,-0.903,-14.597,1,#9D6C97
706,1.007,-14.507,3,#9DD9C5
385,0.003,-14.503,5,#9DC3E6
353,0.001,-14.501,4,#9DC3E6
0,-1.0,-14.5,-1,#9D6C97
321,-0.002,-14.498,4,#9DC3E6
674,0.9,-14.4,0,#9DD9C5
289,-0.102,-14.398,3,#9DC3E6
642,0.806,-14.306000000000001,1,#9DD9C5
257,-0.2,-14.3,4,#9DC3E6
610,0.701,-14.201,3,#9DD9C5
225,-0.3,-14.2,5,#9DC3E6
578,0.604,-14.104,1,#9DD9C5
193,-0.4,-14.1,3,#9DC3E6
546,0.504,-14.004,3,#9DD9C5
161,-0.501,-13.999,4,#9DC3E6
514,0.403,-13.903,2,#9DD9C5
129,-0.6,-13.9,6,#9DC3E6
482,0.301,-13.801,0,#9DD9C5
97,-0.7,-13.8,4,#9DC3E6
450,0.208,-13.708,0,#9DD9C5
65,-0.8,-13.7,3,#9DC3E6
418,0.103,-13.603,3,#9DD9C5
33,-0.903,-13.597,3,#9DC3E6
707,1.007,-13.507,3,#9D6C97
386,0.003,-13.503,1,#9DD9C5
354,0.001,-13.501,2,#9DD9C5
1,-1.0,-13.5,4,#9DC3E6
322,-0.002,-13.498,2,#9DD9C5
675,0.9,-13.4,5,#9D6C97
290,-0.102,-13.398,1,#9DD9C5
643,0.806,-13.306000000000001,3,#9D6C97
258,-0.2,-13.3,2,#9DD9C5
611,0.701,-13.201,3,#9D6C97
226,-0.3,-13.2,2,#9DD9C5
579,0.604,-13.104,1,#9D6C97
194,-0.4,-13.1,1,#9DD9C5
547,0.504,-13.004,5,#9D6C97
162,-0.501,-12.999,2,#9DD9C5
515,0.403,-12.903,2,#9D6C97
130,-0.6,-12.9,0,#9DD9C5
483,0.301,-12.801,4,#9D6C97
98,-0.7,-12.8,0,#9DD9C5
451,0.208,-12.708,3,#9D6C97
