xaxis,yaxis,colors
-16.4,2,#9D6C97
-16.306,-2,#9D6C97
-16.201,1,#9D6C97
-16.104,1,#9D6C97
-16.004,0,#9D6C97
-15.903,1,#9D6C97
-15.801,1,#9D6C97
-15.708,1,#9D6C97
-15.603,1,#9D6C97
-15.4995,1.0,#9D6C97
-15.399000000000001,1.5,#9D6C97
-15.303,3.0,#9D6C97
-15.2005,1.5,#9D6C97
-15.102,3.0,#9D6C97
-15.0015,1.5,#9D6C97
-14.9015,2.0,#9D6C97
-14.8005,1.5,#9D6C97
-14.704,1.5,#9D6C97
-14.6,3.0,#9D6C97
-14.498999999999999,1.5,#9DC3E6
-14.399000000000001,1.5,#9DC3E6
-14.303,2.5,#9DC3E6
-14.2005,4.0,#9DC3E6
-14.102,2.0,#9DC3E6
-14.0015,3.5,#9DC3E6
-13.9015,4.0,#9DC3E6
-13.8005,2.0,#9DC3E6
-13.704,1.5,#9DC3E6
-13.6,3.0,#9DC3E6
-13.498999999999999,3.0,#9DD9C5
-13.399000000000001,3.0,#9DD9C5
-13.303,2.5,#9DD9C5
-13.2005,2.5,#9DD9C5
-13.102,1.0,#9DD9C5
-13.0015,3.5,#9DD9C5
-12.9015,1.0,#9DD9C5
-12.8005,2.0,#9DD9C5
-12.704,3.5,#9DD9C5
-12.6,2.0,#9DD9C5
-12.498999999999999,2.5,#9D6C97
-12.399000000000001,2.0,#9D6C97
-12.303,2.5,#9D6C97
-12.2005,4.5,#9D6C97
-12.102,4.0,#9D6C97
-12.0015,3.0,#9D6C97
-11.9015,4.0,#9D6C97
-11.8005,2.0,#9D6C97
-11.704,2.0,#9D6C97
-11.6,3.0,#9D6C97
-11.498999999999999,2.5,#9DC3E6
-11.399000000000001,4.0,#9DC3E6
-11.303,3.5,#9DC3E6
-11.2005,3.0,#9DC3E6
-11.102,4.0,#9DC3E6
-11.0015,2.0,#9DC3E6
-10.9015,4.0,#9DC3E6
-10.8005,3.5,#9DC3E6
-10.704,4.0,#9DC3E6
-10.6,2.5,#9DC3E6
-10.498999999999999,3.5,#9DD9C5
-10.399000000000001,5.5,#9DD9C5
-10.303,3.5,#9DD9C5
-10.2005,1.5,#9DD9C5
-10.102,3.5,#9DD9C5
-10.0015,4.0,#9DD9C5
-9.9015,3.5,#9DD9C5
-9.8005,5.5,#9DD9C5
-9.704,4.0,#9DD9C5
-9.6,5.0,#9DD9C5
-9.498999999999999,2.0,#9D6C97
-9.399000000000001,5.0,#9D6C97
-9.303,6.5,#9D6C97
-9.2005,5.5,#9D6C97
-9.102,5.5,#9D6C97
-9.0015,6.0,#9D6C97
-8.9015,6.0,#9D6C97
-8.8005,5.0,#9D6C97
-8.704,5.0,#9D6C97
-8.6,5.0,#9D6C97
-8.498999999999999,4.5,#9DC3E6
-8.399000000000001,4.0,#9DC3E6
-8.303,7.0,#9DC3E6
-8.2005,5.5,#9DC3E6
-8.102,5.0,#9DC3E6
-8.0015,6.5,#9DC3E6
-7.9015,6.5,#9DC3E6
-7.8004999999999995,7.0,#9DC3E6
-7.704000000000001,5.5,#9DC3E6
-7.6,7.0,#9DC3E6
-7.4990000000000006,5.5,#9DD9C5
-7.399,7.5,#9DD9C5
-7.303,7.0,#9DD9C5
-7.2005,8.5,#9DD9C5
-7.102,7.0,#9DD9C5
-7.0015,10.5,#9DD9C5
-6.9015,9.0,#9DD9C5
-6.8004999999999995,9.5,#9DD9C5
-6.704000000000001,10.0,#9DD9C5
-6.6,11.0,#9DD9C5
-6.4990000000000006,9.5,#9D6C97
-6.399,10.5,#9D6C97
-6.303,10.0,#9D6C97
-6.2005,12.5,#9D6C97
-6.102,11.5,#9D6C97
-6.0015,14.0,#9D6C97
-5.9015,14.0,#9D6C97
-5.8004999999999995,14.0,#9D6C97
-5.704000000000001,13.0,#9D6C97
-5.6,16.5,#9D6C97
-5.4990000000000006,15.0,#9DC3E6
-5.399,17.0,#9DC3E6
-5.303,19.5,#9DC3E6
-5.2005,20.0,#9DC3E6
-5.102,22.5,#9DC3E6
-5.0015,23.5,#9DC3E6
-4.9015,24.0,#9DC3E6
-4.8004999999999995,25.0,#9DC3E6
-4.704000000000001,26.5,#9DC3E6
-4.6,28.5,#9DC3E6
-4.4990000000000006,28.5,#9DD9C5
-4.399,33.5,#9DD9C5
-4.303,35.5,#9DD9C5
-4.2005,38.0,#9DD9C5
-4.102,41.5,#9DD9C5
-4.0015,44.5,#9DD9C5
-3.9015,47.5,#9DD9C5
-3.8005,50.0,#9DD9C5
-3.704,53.0,#9DD9C5
-3.6,59.0,#9DD9C5
-3.499,62.5,#9D6C97
-3.399,67.5,#9D6C97
-3.303,71.0,#9D6C97
-3.2005,77.5,#9D6C97
-3.1020000000000003,86.5,#9D6C97
-3.0015,95.0,#9D6C97
-2.9015,105.0,#9D6C97
-2.8005,127.5,#9D6C97
-2.704,231.0,#9D6C97
-2.6,919.0,#9D6C97
-2.499,2168.0,#9DC3E6
-2.399,3947.5,#9DC3E6
-2.303,5801.0,#9DC3E6
-2.2005,8084.0,#9DC3E6
