ann1
[  0.    0.9   1.  100. ]
[1.49011612e-08 9.00000000e-01 1.00000000e+00 1.00000000e+02]
[  0.           0.90000001   1.         100.        ]
[  0.           0.9          1.00000001 100.        ]
[  0.           0.9          1.         100.00000001]
[1.87347601e-02 1.90982519e+00 1.00144544e+00 1.00000021e+02]
[1.87347750e-02 1.90982519e+00 1.00144544e+00 1.00000021e+02]
[1.87347601e-02 1.90982521e+00 1.00144544e+00 1.00000021e+02]
[1.87347601e-02 1.90982519e+00 1.00144546e+00 1.00000021e+02]
[1.87347601e-02 1.90982519e+00 1.00144544e+00 1.00000021e+02]
[1.86552609e-03 1.00055401e+00 1.00014393e+00 1.00000002e+02]
[1.86554099e-03 1.00055401e+00 1.00014393e+00 1.00000002e+02]
[1.86552609e-03 1.00055402e+00 1.00014393e+00 1.00000002e+02]
[1.86552609e-03 1.00055401e+00 1.00014395e+00 1.00000002e+02]
[1.86552609e-03 1.00055401e+00 1.00014393e+00 1.00000002e+02]
[10.61532454  0.90525726  1.0039016  99.99997727]
[10.61532455  0.90525726  1.0039016  99.99997727]
[10.61532454  0.90525728  1.0039016  99.99997727]
[10.61532454  0.90525726  1.00390161 99.99997727]
[10.61532454  0.90525726  1.0039016  99.99997728]
[ 2.41867256  0.97885384  1.0009996  99.99999643]
[ 2.41867257  0.97885384  1.0009996  99.99999643]
[ 2.41867256  0.97885386  1.0009996  99.99999643]
[ 2.41867256  0.97885384  1.00099961 99.99999643]
[ 2.41867256  0.97885384  1.0009996  99.99999644]
[4.39102581e-03 1.00053133e+00 1.00014483e+00 1.00000002e+02]
[4.39104071e-03 1.00053133e+00 1.00014483e+00 1.00000002e+02]
[4.39102581e-03 1.00053135e+00 1.00014483e+00 1.00000002e+02]
[4.39102581e-03 1.00053133e+00 1.00014484e+00 1.00000002e+02]
[4.39102581e-03 1.00053133e+00 1.00014483e+00 1.00000002e+02]
[3.79257111e-03 9.85680372e-01 1.14055273e+01 9.99447325e+01]
[3.79258601e-03 9.85680372e-01 1.14055273e+01 9.99447325e+01]
[3.79257111e-03 9.85680387e-01 1.14055273e+01 9.99447325e+01]
[3.79257111e-03 9.85680372e-01 1.14055273e+01 9.99447325e+01]
[3.79257111e-03 9.85680372e-01 1.14055273e+01 9.99447325e+01]
[4.38351410e-03 1.00034493e+00 1.13075148e+00 9.99993083e+01]
[4.38352901e-03 1.00034493e+00 1.13075148e+00 9.99993083e+01]
[4.38351410e-03 1.00034494e+00 1.13075148e+00 9.99993083e+01]
[4.38351410e-03 1.00034493e+00 1.13075149e+00 9.99993083e+01]
[4.38351410e-03 1.00034493e+00 1.13075148e+00 9.99993084e+01]
[4.59666937e-03 1.00031925e+00 1.15179812e+00 1.00091152e+02]
[4.59668427e-03 1.00031925e+00 1.15179812e+00 1.00091152e+02]
[4.59666937e-03 1.00031927e+00 1.15179812e+00 1.00091152e+02]
[4.59666937e-03 1.00031925e+00 1.15179813e+00 1.00091152e+02]
[4.59666937e-03 1.00031925e+00 1.15179812e+00 1.00091152e+02]
[5.10140530e-03 1.00032081e+00 1.18516610e+00 9.87686636e+01]
[5.10142020e-03 1.00032081e+00 1.18516610e+00 9.87686636e+01]
[5.10140530e-03 1.00032082e+00 1.18516610e+00 9.87686636e+01]
[5.10140530e-03 1.00032081e+00 1.18516612e+00 9.87686636e+01]
[5.10140530e-03 1.00032081e+00 1.18516610e+00 9.87686636e+01]
[5.24301126e-03 1.00036246e+00 1.19486347e+00 9.65654286e+01]
[5.24302616e-03 1.00036246e+00 1.19486347e+00 9.65654286e+01]
[5.24301126e-03 1.00036248e+00 1.19486347e+00 9.65654286e+01]
[5.24301126e-03 1.00036246e+00 1.19486348e+00 9.65654286e+01]
[5.24301126e-03 1.00036246e+00 1.19486347e+00 9.65654286e+01]
[5.25316431e-03 1.00041670e+00 1.19233356e+00 9.44010146e+01]
[5.25317922e-03 1.00041670e+00 1.19233356e+00 9.44010146e+01]
[5.25316431e-03 1.00041672e+00 1.19233356e+00 9.44010146e+01]
[5.25316431e-03 1.00041670e+00 1.19233357e+00 9.44010146e+01]
[5.25316431e-03 1.00041670e+00 1.19233356e+00 9.44010146e+01]
[5.25546878e-03 1.00052710e+00 1.18694012e+00 8.99222312e+01]
[5.25548368e-03 1.00052710e+00 1.18694012e+00 8.99222312e+01]
[5.25546878e-03 1.00052711e+00 1.18694012e+00 8.99222312e+01]
[5.25546878e-03 1.00052710e+00 1.18694014e+00 8.99222312e+01]
[5.25546878e-03 1.00052710e+00 1.18694012e+00 8.99222312e+01]
[5.24453219e-03 1.00078026e+00 1.17132664e+00 7.97348362e+01]
[5.24454709e-03 1.00078026e+00 1.17132664e+00 7.97348362e+01]
[5.24453219e-03 1.00078028e+00 1.17132664e+00 7.97348362e+01]
[5.24453219e-03 1.00078026e+00 1.17132665e+00 7.97348362e+01]
[5.24453219e-03 1.00078026e+00 1.17132664e+00 7.97348362e+01]
[5.23322136e-03 1.00087386e+00 1.16244783e+00 7.59412224e+01]
[5.23323627e-03 1.00087386e+00 1.16244783e+00 7.59412224e+01]
[5.23322136e-03 1.00087387e+00 1.16244783e+00 7.59412224e+01]
[5.23322136e-03 1.00087386e+00 1.16244784e+00 7.59412224e+01]
[5.23322136e-03 1.00087386e+00 1.16244783e+00 7.59412224e+01]
[5.22960329e-03 1.00088477e+00 1.15853055e+00 7.55553076e+01]
[5.22961819e-03 1.00088477e+00 1.15853055e+00 7.55553076e+01]
[5.22960329e-03 1.00088479e+00 1.15853055e+00 7.55553076e+01]
[5.22960329e-03 1.00088477e+00 1.15853056e+00 7.55553076e+01]
[5.22960329e-03 1.00088477e+00 1.15853055e+00 7.55553076e+01]
[5.22832104e-03 1.00089009e+00 1.15543997e+00 7.53997298e+01]
[5.22833594e-03 1.00089009e+00 1.15543997e+00 7.53997298e+01]
[5.22832104e-03 1.00089010e+00 1.15543997e+00 7.53997298e+01]
[5.22832104e-03 1.00089009e+00 1.15543998e+00 7.53997298e+01]
[5.22832104e-03 1.00089009e+00 1.15543997e+00 7.53997298e+01]
[5.22866917e-03 1.00089019e+00 1.15524546e+00 7.53981855e+01]
[5.22868407e-03 1.00089019e+00 1.15524546e+00 7.53981855e+01]
[5.22866917e-03 1.00089020e+00 1.15524546e+00 7.53981855e+01]
