file,label,plot,baser,onaxis,offaxis,offaxisvalue,roughness,points,angle,normal_slice,slice1,slice2,sliceonedeg,displacement,location
Rockleyref_20deg_-0.150.csv,,,,x,,-0.15,0.1,4096,20,2034,1983,2085,103,-0.13671875,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/center/
Rockleyref_20deg_-0.100.csv,,,,x,,-0.1,0.1,4096,20,2036,1985,2087,103,-0.1171875,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/center/
Rockleyref_20deg_-0.050.csv,,,,x,,-0.05,0.1,4096,20,2037,1986,2088,103,-0.107421875,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/center/
Rockleyref_20deg_0.150.csv,,,,x,,0.15,0.1,4096,20,2037,1986,2088,103,-0.107421875,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/center/
Rockleyref_20deg_0.100.csv,,,,x,,0.1,0.1,4096,20,2033,1982,2084,103,-0.146484375,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/center/
Rockleyref_20deg_0.050.csv,,,,x,,0.05,0.1,4096,20,2035,1984,2086,103,-0.126953125,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/center/
Ann_10_70deg.csv,Ann_10_unknown,x,,x,,,0.1,4096,70,1986,1971,2001,30,-2.119140625,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/reference/
PT_SiRef_shiny_70.csv,PT_SiRef,x,,x,,,0.1,4096,70,2161,2146,2176,30,3.862304688,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/reference/
refrockley_focus_0.csv,Refrockley,x,,x,,,0.1,4096,12,1869,1784,1954,171,-1.048828125,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/refocus/
Ann10_offaxis_20deg.csv,,,,,x,,0.1,4096,20,2279,2228,2330,103,2.255859375,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/offaxis/
