,x,y,z,radii,angle,n
209,49.95833629,-9.411050732,6.0177737,-50.83702627,9.238581979,209
484,49.57724495,-3.360517968,7.908432735,-49.69100822,15.64028332,484
210,50.15974759,-8.244954178,8.102276388,-50.83285894,9.261860893,210
211,50.33394669,-7.074581255,8.102276388,-50.8286916,9.285139807,211
497,48.27315658,11.5549784,8.550995731,-49.63683282,15.9429092,497
148,-1.8089365,-51.05920027,8.693768705,-51.09123392,7.818568227,148
149,-0.619900435,-51.08330544,8.693768705,-51.08706658,7.841847141,149
498,47.98708515,12.67442865,8.705164549,-49.63266548,15.96618812,498
499,47.67505985,13.78682327,8.705164549,-49.62849814,15.98946703,499
487,49.67839065,0.107146211,8.758477083,-49.6785062,15.71012006,487
488,49.6582707,1.263365729,8.758477083,-49.67433886,15.73339898,488
485,49.63787132,-2.205422304,8.84173495,-49.68684088,15.66356223,485
486,49.67159114,-1.049325371,8.84173495,-49.68267354,15.68684115,486
493,49.15492813,7.018783216,8.851851613,-49.65350217,15.84979355,493
494,48.97412446,8.160366588,8.851851613,-49.64933483,15.87307246,494
482,49.37540051,-5.665201548,9.24128158,-49.69934289,15.59372549,482
483,49.48974037,-4.513986183,9.24128158,-49.69517555,15.61700441,483
489,49.61124668,2.418706708,9.609791949,-49.67017152,15.75667789,489
495,48.7668144,9.297336628,9.66311694,-49.64516749,15.89635137,495
496,48.53311476,10.42907802,9.66311694,-49.64100016,15.91963029,496
490,49.5373486,3.572543255,9.767490843,-49.66600419,15.7799568,490
491,49.43662101,4.724250399,9.767490843,-49.66183685,15.80323572,491
492,49.309123,5.873204425,9.936508142,-49.65766951,15.82651463,492
147,-2.997186215,-51.00742009,9.965987909,-51.09540126,7.795289313,147
150,0.569277553,-51.07972707,10.02654837,-51.08289924,7.865126055,150
212,50.48084366,-5.900566851,10.32526388,-50.82452426,9.308418721,212
213,50.60036338,-4.723547721,10.32526388,-50.82035692,9.331697635,213
761,48.30663836,4.71970504,10.64493285,-48.53665548,22.08854249,761
