,xr,yr,zr,radiir,angler,nr
0,15.98973878,49.17047161,19.63508364,-51.705,4.397985369,0
1,14.83964612,49.52535691,18.94892336,-51.70083243,4.421264936,1
2,13.68169751,49.85334804,19.39196862,-51.69666486,4.444544504,2
3,12.51652169,50.15427161,19.39196862,-51.69249729,4.467824071,3
4,11.34475125,50.4279689,19.08776366,-51.68832972,4.491103638,4
5,10.16702223,50.67429601,19.59977463,-51.68416215,4.514383206,5
6,8.98397378,50.89312384,19.59977463,-51.67999457,4.537662773,6
7,7.796247861,51.08433826,19.04792073,-51.675827,4.56094234,7
8,6.604488848,51.24784011,19.04792073,-51.67165943,4.584221908,8
9,5.409343201,51.38354524,18.99087255,-51.66749186,4.607501475,9
10,4.211459111,51.49138461,19.4431386,-51.66332429,4.630781042,10
11,3.011486148,51.57130427,19.4431386,-51.65915672,4.65406061,11
12,1.810074911,51.62326542,19.38945231,-51.65498915,4.677340177,12
13,0.607876671,51.64724441,19.98252706,-51.65082158,4.700619744,13
14,-0.594456978,51.64323277,19.98252706,-51.64665401,4.723899312,14
15,-1.796274475,51.61123718,23.10459367,-51.64248644,4.747178879,15
16,-2.996924642,51.5512795,23.10459367,-51.63831887,4.770458447,16
17,-4.195757041,51.46339673,25,-51.63415129,4.793738014,17
18,-5.392122322,51.347641,25,-51.62998372,4.817017581,18
19,-6.585372577,51.20407954,25,-51.62581615,4.840297149,19
20,-7.774861692,51.03279463,25,-51.62164858,4.863576716,20
21,-8.959945695,50.83388357,25,-51.61748101,4.886856283,21
22,-10.1399831,50.60745861,25,-51.61331344,4.910135851,22
23,-11.31433528,50.35364688,23.84626861,-51.60914587,4.933415418,23
24,-12.48236675,50.07259036,23.84626861,-51.6049783,4.956694985,24
25,-13.64344561,49.76444574,19.64748686,-51.60081073,4.979974553,25
26,-14.79694377,49.42938438,19.64748686,-51.59664316,5.00325412,26
27,-15.94223739,49.0675922,19.28273686,-51.59247559,5.026533687,27
28,-17.07870718,48.67926956,19.28273686,-51.58830801,5.049813255,28
