mu,int_axis,int_points,Correlation,int_axis_average,int_points_average
-1.0,"[-14.83196639 -13.89577916 -12.95959192 -12.02340468 -11.08721744
 -10.15103021  -9.21484297  -8.27865573  -7.34246849  -6.40628126
  -5.47009402  -4.53390678  -3.59771954  -2.66153231  -1.72534507
  -0.78915783   0.14702941   1.08321664   2.01940388   2.95559112
   3.89177836   4.82796559   5.76415283   6.70034007   7.63652731
   8.57271454   9.50890178  10.44508902  11.38127626  12.31746349
  13.25365073  14.18983797]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 3.92365095e-284 1.29515338e-187
 3.69693310e-117 4.30263271e-068 5.12963845e-036 7.90466714e-017
 9.20717000e-007 1.78615030e-002 2.72278189e-001 3.28481068e-001
 1.41742254e-001 7.44527222e-004 2.47994390e-010 5.24380395e-024
 1.97196246e-048 1.58321470e-087 1.57097667e-145 5.76103648e-227
 0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000]",0.6818859679323581,-14.831966393278659,0.0
-0.9,"[-14.83196639 -13.89577916 -12.95959192 -12.02340468 -11.08721744
 -10.15103021  -9.21484297  -8.27865573  -7.34246849  -6.40628126
  -5.47009402  -4.53390678  -3.59771954  -2.66153231  -1.72534507
  -0.78915783   0.14702941   1.08321664   2.01940388   2.95559112
   3.89177836   4.82796559   5.76415283   6.70034007   7.63652731
   8.57271454   9.50890178  10.44508902  11.38127626  12.31746349
  13.25365073  14.18983797]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 3.47530926e-296 1.35057965e-196
 1.38821249e-123 1.89760674e-072 9.29343172e-039 2.22197286e-018
 1.65520062e-007 9.60739196e-003 2.46333611e-001 3.29662843e-001
 1.76621512e-001 1.86164625e-003 2.35043087e-009 4.23924790e-022
 3.40356012e-045 1.58662977e-082 2.67777201e-138 5.23585089e-217
 1.97626258e-323 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000]",0.7391280969385298,-13.895779155831173,0.0
-0.8,"[-14.83196639 -13.89577916 -12.95959192 -12.02340468 -11.08721744
 -10.15103021  -9.21484297  -8.27865573  -7.34246849  -6.40628126
  -5.47009402  -4.53390678  -3.59771954  -2.66153231  -1.72534507
  -0.78915783   0.14702941   1.08321664   2.01940388   2.95559112
   3.89177836   4.82796559   5.76415283   6.70034007   7.63652731
   8.57271454   9.50890178  10.44508902  11.38127626  12.31746349
  13.25365073  14.18983797]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 1.34514187e-308 7.00990590e-206
 2.93577997e-130 5.29546634e-077 1.18766441e-041 4.86949199e-020
 2.53807491e-008 4.73891354e-003 2.15787416e-001 3.29976166e-001
 2.10664046e-001 4.20672477e-003 1.86324660e-008 2.61314662e-020
 4.04425210e-042 9.80107294e-078 2.49995910e-131 2.29980776e-207
 1.40969069e-310 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000]",0.7915870172841949,-12.959591918383673,0.0
-0.7,"[-14.83196639 -13.89577916 -12.95959192 -12.02340468 -11.08721744
 -10.15103021  -9.21484297  -8.27865573  -7.34246849  -6.40628126
  -5.47009402  -4.53390678  -3.59771954  -2.66153231  -1.72534507
  -0.78915783   0.14702941   1.08321664   2.01940388   2.95559112
   3.89177836   4.82796559   5.76415283   6.70034007   7.63652731
   8.57271454   9.50890178  10.44508902  11.38127626  12.31746349
  13.25365073  14.18983797]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 2.23811738e-321 1.78645742e-215
 3.45187751e-137 9.23807490e-082 1.05868969e-044 8.23509171e-022
 3.28991866e-009 2.12937425e-003 1.82072354e-001 3.29754264e-001
 2.41818582e-001 8.65025985e-003 1.24681191e-007 1.24101316e-018
 3.34605115e-039 3.77767502e-073 1.29502110e-124 4.94943176e-198
 4.15237001e-298 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000]",0.8362342721160078,-12.023404680936185,0.0
-0.6,"[-14.83196639 -13.89577916 -12.95959192 -12.02340468 -11.08721744
 -10.15103021  -9.21484297  -8.27865573  -7.34246849  -6.40628126
  -5.47009402  -4.53390678  -3.59771954  -2.66153231  -1.72534507
  -0.78915783   0.14702941   1.08321664   2.01940388   2.95559112
   3.89177836   4.82796559   5.76415283   6.70034007   7.63652731
   8.57271454   9.50890178  10.44508902  11.38127626  12.31746349
  13.25365073  14.18983797]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 2.20508218e-225
 2.22755181e-144 9.95298216e-087 6.50860516e-048 1.06364198e-023
 3.57201809e-010 8.65634758e-004 1.47175952e-001 3.28753044e-001
 2.68551876e-001 1.62949815e-002 7.10647530e-007 4.58758426e-017
 1.94936914e-036 9.19562586e-069 3.77050731e-118 5.29039718e-189
 5.33297690e-286 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000]",0.8720764029667224,-11.087217443488697,0.0
-0.5,"[-14.83196639 -13.89577916 -12.95959192 -12.02340468 -11.08721744
 -10.15103021  -9.21484297  -8.27865573  -7.34246849  -6.40628126
  -5.47009402  -4.53390678  -3.59771954  -2.66153231  -1.72534507
  -0.78915783   0.14702941   1.08321664   2.01940388   2.95559112
   3.89177836   4.82796559   5.76415283   6.70034007   7.63652731
   8.57271454   9.50890178  10.44508902  11.38127626  12.31746349
  13.25365073  14.18983797]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 1.30028791e-235
 7.78722081e-152 6.54179656e-092 2.72833011e-051 1.03829350e-025
 3.21840802e-011 3.16098705e-004 1.13346196e-001 3.26214024e-001
 2.90014873e-001 2.83024746e-002 3.48065872e-006 1.33350817e-015
 8.08644941e-034 1.43073162e-064 6.24972599e-112 2.84686821e-180
 3.02912749e-274 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000]",0.9003111802756916,-10.151030206041211,0.0
-0.3999999999999999,"[-14.83196639 -13.89577916 -12.95959192 -12.02340468 -11.08721744
 -10.15103021  -9.21484297  -8.27865573  -7.34246849  -6.40628126
  -5.47009402  -4.53390678  -3.59771954  -2.66153231  -1.72534507
  -0.78915783   0.14702941   1.08321664   2.01940388   2.95559112
   3.89177836   4.82796559   5.76415283   6.70034007   7.63652731
   8.57271454   9.50890178  10.44508902  11.38127626  12.31746349
  13.25365073  14.18983797]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 3.61273433e-246
 1.45554881e-159 2.59091535e-097 7.70903493e-055 7.57969211e-028
 2.38371785e-012 1.02918248e-004 8.26996308e-002 3.21107899e-001
 3.06051934e-001 4.56103287e-002 1.47761339e-005 3.07872304e-014
 2.41499415e-031 1.43989553e-060 5.97288596e-106 7.81694020e-172
 7.71759006e-263 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000]",0.923344195666572,-9.21484296859372,1.8684052124491446e-285
-0.29999999999999993,"[-14.83196639 -13.89577916 -12.95959192 -12.02340468 -11.08721744
 -10.15103021  -9.21484297  -8.27865573  -7.34246849  -6.40628126
  -5.47009402  -4.53390678  -3.59771954  -2.66153231  -1.72534507
  -0.78915783   0.14702941   1.08321664   2.01940388   2.95559112
   3.89177836   4.82796559   5.76415283   6.70034007   7.63652731
   8.57271454   9.50890178  10.44508902  11.38127626  12.31746349
  13.25365073  14.18983797]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 4.66424921e-257
 1.43560191e-167 6.10696173e-103 1.45131257e-058 4.09405131e-030
 1.43741719e-013 2.96482022e-005 5.68360719e-002 3.12355701e-001
 3.17088840e-001 6.86151597e-002 5.48262427e-005 5.70187133e-013
 5.24949265e-029 9.48497856e-057 3.33317099e-100 1.10996088e-163
 8.94485734e-252 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000]",0.9433367429637013,-8.278655731146227,6.1673970637578605e-189
-0.19999999999999996,"[-14.83196639 -13.89577916 -12.95959192 -12.02340468 -11.08721744
 -10.15103021  -9.21484297  -8.27865573  -7.34246849  -6.40628126
  -5.47009402  -4.53390678  -3.59771954  -2.66153231  -1.72534507
  -0.78915783   0.14702941   1.08321664   2.01940388   2.95559112
   3.89177836   4.82796559   5.76415283   6.70034007   7.63652731
   8.57271454   9.50890178  10.44508902  11.38127626  12.31746349
  13.25365073  14.18983797]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 2.75938771e-268
 7.37299384e-176 8.46018371e-109 1.79929888e-062 1.61861603e-032
 6.98870944e-015 7.49679343e-006 3.65773049e-002 2.98995433e-001
 3.23954811e-001 9.69352321e-002 1.79254383e-004 8.55445095e-012
 8.39587879e-027 4.13781805e-053 1.09984906e-094 8.25957661e-156
 4.78269691e-241 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000]",0.9610430981727374,-7.342468493698742,1.7604449924863209e-118
-0.09999999999999998,"[-14.83196639 -13.89577916 -12.95959192 -12.02340468 -11.08721744
 -10.15103021  -9.21484297  -8.27865573  -7.34246849  -6.40628126
  -5.47009402  -4.53390678  -3.59771954  -2.66153231  -1.72534507
  -0.78915783   0.14702941   1.08321664   2.01940388   2.95559112
   3.89177836   4.82796559   5.76415283   6.70034007   7.63652731
   8.57271454   9.50890178  10.44508902  11.38127626  12.31746349
  13.25365073  14.18983797]","[0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 7.37621907e-280
 1.94563982e-184 6.80217200e-115 1.45181370e-066 4.63337456e-035
 2.71278728e-016 1.65022932e-006 2.19104097e-002 2.80367882e-001
 3.27689983e-001 1.29353491e-001 5.20490299e-004 1.04977512e-010
 9.98671017e-025 1.20946484e-049 2.17283285e-089 3.26385840e-148
 1.19626913e-230 0.00000000e+000 0.00000000e+000 0.00000000e+000
 0.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000]",0.9753671346425854,-6.4062812562512494,2.048963084764622e-69
